stock_code,market,tag,tag_type,confidence,is_primary,source,evidence,evidence_url,updated_at,review_status,review_note
00034,HK,商业地产,business,0.6,False,deepseek_browser_evidence,集团亦从事财务投资及投资控股，可能涉及商业物业投资。,https://stockn.xueqiu.com/00034/20250425660399.pdf,2026-06-04T17:42:59.547468,pending,除住宅开发外，年报提到财务投资，不排除持有商业地产，但无明确分部。
00034,HK,高负债,risk,0.4,False,deepseek_browser_evidence,房地产行业普遍资产负债率较高，九龙建业作为开发商可能具有高负债特征，但无直接证据。,,2026-06-04T17:42:59.547476,pending,行业惯例，未在业绩新闻中披露具体负债水平。
00034,HK,高股息,style,0.5,False,deepseek_browser_evidence,拟派末期股息每股0.14港元。,https://finance.sina.cn/hkstock/gsxw/2026-03-20/detail-inhrrzus0601689.d.html,2026-06-04T17:42:59.547483,pending,公司有持续派息，但未比较市场平均，暂列为候选高股息标签。
00034,HK,周期股,style,0.5,False,deepseek_browser_evidence,房地产行业受宏观经济和政策周期影响显著。,,2026-06-04T17:42:59.547490,pending,住宅开发业务具备周期属性，可视为周期股。
00046,HK,企业服务,business,0.7,False,deepseek_browser_evidence,年报摘要中提及“build a better world through information technology”，且收入构成页面暗示其解决方案性质。,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900330_c.pdf,2026-06-04T17:42:59.547535,pending,公司很可能是面向企业提供IT解决方案，但未在片段中明确提及B端服务。
00050,HK,医疗服务,business,0.6,False,deepseek_browser_evidence,业务包括医疗、保健及美容服务,https://www.sohu.com/a/998693851_362225,2026-06-04T17:42:59.547630,pending,医疗保健服务可能包含诊所，但无法确认是否达到医院级别，暂时纳入医疗服务范畴
00050,HK,防御,style,0.6,False,deepseek_browser_evidence,溢利主要来自稳定租金收入，属于现金流稳定的业务,https://www.sohu.com/a/998693851_362225,2026-06-04T17:42:59.547644,pending,租金收入提供稳定现金流，可能具有一定防御属性，但未经财务指标验证
00060,HK,分销,value_chain,0.5,True,deepseek_browser_evidence,公司名称为香港食品投资，推测主营业务涉及食品贸易、渠道分销,http://www.aastocks.com/tc/stocks/analysis/company-fundamental/?symbol=00060,2026-06-04T17:42:59.547686,pending,基于公司名称推断为食品分销业务，但无年报分部数据直接证明
00060,HK,香港本地,geo,0.5,False,deepseek_browser_evidence,公司名含“香港”，注册地及主要市场均在香港,http://www.aastocks.com/tc/stocks/analysis/company-fundamental/?symbol=00060,2026-06-04T17:42:59.547699,pending,公司定位为香港本地食品投资企业，无明显海外业务描述
00057,HK,AI应用,theme,0.6,False,deepseek_browser_evidence,推出iChen AI Molder，将人工智能应用于注塑过程优化。,https://reportify.cn/financials/1145800253333704704,2026-06-04T17:42:59.547769,pending,产品融入AI功能，但AI并非公司核心主营业务，属于工业AI应用，可有限标记。
00057,HK,香港本地,geo,0.5,False,deepseek_browser_evidence,集团财务数据中包含“中国内地及香港市场”，公司于香港注册及上市，但未单独披露香港本地收入。,https://reportify.cn/financials/1145800253333704704,2026-06-04T17:42:59.547778,pending,证据显示香港市场与大陆合并统计，无本地业务清晰拆分，保守标记。
00392,HK,环保,business,0.7,False,deepseek_browser_evidence,the sewage and water treatment operations segment,http://www.researchinchina.com/Htmls/Company/3459.html,2026-06-04T19:00:48.768997,pending,污水处理属于环保范畴
01112,HK,博彩,business,0.7,True,deepseek_browser_evidence,Play live roulette online with real dealers at William Hill. Experience live casino roulette on desktop and mobile with a UK-licensed …,https://vegas.williamhill.com/live-casino/live-roulette,2026-06-04T19:00:48.770241,pending,"Evidence suggests the company operates online casino and sports betting (William Hill), consistent with gaming/gambling business."
01111,HK,餐饮,business,0.6,True,deepseek_browser_evidence,Many Chinese restaurants close or reduce hours during Chinese New Year. Check local listings and call ahead to confirm availability in your area.,https://party.alibaba.com/newyear/do-chinese-restaurants-closed-for-chinese-new-year,2026-06-04T19:00:48.770275,pending,"Evidence repeatedly mentions Chinese restaurants, indicating the company may be involved in food and beverage operations."
01116,HK,保险,business,0.7,True,deepseek_browser_evidence,"Nationwide offers insurance, retirement and investing products that protect your many sides. Get home and auto insurance quotes online or find a local agent.",https://www.nationwide.com/,2026-06-04T19:00:48.770302,pending,"Evidence points to insurance services (Nationwide, insurance lists), suggesting the company is in the insurance industry."
01117,HK,纺织服装,business,0.65,True,deepseek_browser_evidence,Jonny Johnasson Acne的牛仔裤是1997年进入的大众视野，这还是一个有趣的故事。 1997年，Acne的设计师们突发奇想，因为好玩就设计出了100条五袋红色缝线生粗纹牛仔裤并送给了一些朋友。时尚的 …,https://www.zhihu.com/question/311877628,2026-06-04T19:00:48.770324,pending,"Evidence discusses Acne Studios, a fashion brand, indicating the company likely operates in apparel/textile business."
01118,HK,医疗服务,business,0.7,True,deepseek_browser_evidence,"UW Medical Center – Montlake is one of the world's foremost academic health centers, delivering exceptional, multidisciplinary care …",https://www.uwmedicine.org/locations/uw-medical-center-montlake,2026-06-04T19:00:48.770346,pending,"Evidence describes hospitals and medical centers, suggesting the company provides healthcare services."
01529,HK,医药制造,business,0.7,True,deepseek_browser_evidence,乐氏国际控股间接全资附属公司江西乐老号中医药产业科技发展有限公司与承包商订立建筑合同，显示公司从事中医药产业。,https://www.hstong.com/quotes/10000-01529-HK,2026-06-04T19:00:48.770818,pending,附属公司名称包含“中医药产业”，推断公司业务涉及医药制造。
01529,HK,中国内地,geo,0.6,False,deepseek_browser_evidence,附属公司注册于江西，并订立建筑合同，表明公司在中国内地有业务。,https://www.hstong.com/quotes/10000-01529-HK,2026-06-04T19:00:48.770834,pending,附属公司所在地为江西，暗示公司业务覆盖中国内地。
01622,HK,AI,theme,0.9,False,deepseek_browser_evidence,Alphabet (GOOGL) Q1 2026: Cloud Surges 63% to $20B as AI demand outstrips capacity,https://news.alphastreet.com/alphabet-googl-q1-2026-cloud-surges-63-to-20b-as-ai-demand-outstrips-capacity/,2026-06-04T19:00:48.771051,pending,根据财报新闻，AI需求超过容量，表明公司有AI业务曝光
01622,HK,云服务,value_chain,0.9,False,deepseek_browser_evidence,Alphabet (GOOGL) Q1 2026: Cloud Surges 63% to $20B as AI demand outstrips capacity,https://news.alphastreet.com/alphabet-googl-q1-2026-cloud-surges-63-to-20b-as-ai-demand-outstrips-capacity/,2026-06-04T19:00:48.771067,pending,云业务增长63%至200亿，表明云服务业务显著
02565,HK,医药制造,business,0.8,False,deepseek_browser_evidence,公司名称含“生物医药”，属于药品研发与生产领域。,https://quote.eastmoney.com/hk/02565.html,2026-06-04T19:00:48.772015,pending,虽侧重研发，但具备药品生产能力，未来商业化阶段将涉及制造。
02572,HK,电商,business,0.85,False,deepseek_browser_evidence,提供线上钢材交易服务，属于B2B电商。,https://stock.finance.sina.com.cn/hkstock/info/02572.html,2026-06-04T19:00:48.772054,pending,钢铁线上交易具备电商属性，但垂直领域可能更侧重供应链服务。
02573,HK,出海,theme,0.8,False,deepseek_browser_evidence,公司在印尼、泰国设有生产工厂，生产甘氨酸和三氯蔗糖。,https://reportify.cn/financials/1247359086023020544,2026-06-04T19:00:48.772066,pending,海外建厂表明有国际化布局，但财报未明确海外收入占比。
02573,HK,原材料成本风险,risk,0.75,False,deepseek_browser_evidence,主营产品为甘氨酸、三氯蔗糖，属于化工品，原料成本波动影响利润。,https://reportify.cn/financials/1247359086023020544,2026-06-04T19:00:48.772076,pending,食品添加剂/化工行业对原材料价格敏感，具有原材料成本风险。
02575,HK,医药制造,business,0.85,False,deepseek_browser_evidence,已有三款创新药获批上市，涉及药品生产。,https://www.hibor.com.cn/report/a69ae24d7ba212a5daa9851f6b4812b8.html,2026-06-04T19:00:48.772107,pending,正在向商业化生产过渡，未来制药收入占比将提升。
02575,HK,高研发,style,0.8,False,deepseek_browser_evidence,作为创新药企，研发投入占比较高，财报显示存在研发费用。,https://stock.qianzhan.com/item/lirun_02575.HK_2024.4.html,2026-06-04T19:00:48.772117,pending,财务报表有研发费用，符合高研发特征。
02576,HK,软件服务,business,0.85,False,deepseek_browser_evidence,提供临床研究数字化平台和AI解决方案，属于软件即服务模式。,https://stock.qianzhan.com/item/lirun_02576.HK_2025.4.html,2026-06-04T19:00:48.772147,pending,主营业务为医疗科技软件服务，符合软件服务行业定位。
02576,HK,数据要素,theme,0.8,False,deepseek_browser_evidence,积累大量优质临床研究数据，用于增强AI平台能力。,https://emweb.securities.eastmoney.com/PC_HKF10/pages/home/index.html?code=02576&type=web,2026-06-04T19:00:48.772156,pending,作为临床研究基础设施供应商，拥有数据资源，受益于数据要素政策。
02951,HK,医疗服务,business,0.6,True,deepseek_browser_evidence,公司名称为“京玖康疗”，名称暗示医疗康疗服务。新浪行情页显示公司相关信息，但无详细业务描述。,https://stock.finance.sina.com.cn/hkstock/quotes/02951.html,2026-06-04T19:00:48.772299,pending,依据公司名称推断可能从事医疗服务，但缺乏主营业务证据，因此仅作候选
03412,HK,支付网络,value_chain,0.7,True,deepseek_browser_evidence,提供A都会电子支付 (03412)股票的行情走势、五档盘口、逐笔交易等实时行情数据,https://quote.eastmoney.com/hk/03412.html,2026-06-04T19:00:48.772366,pending,公司名称包含“电子支付”，推测为支付处理或支付网络服务商
03415,HK,ETF,instrument,0.7,True,deepseek_browser_evidence,提供AGX标普兑 (03415)股票的行情走势、五档盘口、逐笔交易等实时行情数据,https://quote.eastmoney.com/hk/03415.html,2026-06-04T19:00:48.772378,pending,产品名称为AGX标普兑，结构上很可能是一只追踪标普相关资产的ETF
03421,HK,货币基金,instrument,0.8,True,deepseek_browser_evidence,提供A惠理港元 (03421)股票的行情走势、五档盘口、逐笔交易等实时行情数据，及A惠理港元 (03421)的资讯…,https://quote.eastmoney.com/hk/03421.html,2026-06-04T19:00:48.772400,pending,产品名称为“A惠理港元”，通常为港元货币市场基金
03422,HK,ETF,instrument,0.8,True,deepseek_browser_evidence,GX创新蓝筹十强(03422)财报日期、财务报告及业绩会详情,https://www.itiger.com/hans/stock/03422/filings,2026-06-04T19:00:48.772411,pending,产品名称及类别明确为ETF，投资于创新蓝筹股
03422,HK,蓝筹,style,0.8,False,deepseek_browser_evidence,GX创新蓝筹十强(03422)…创新蓝筹十强…,https://quote.eastmoney.com/hk/03422.html,2026-06-04T19:00:48.772421,pending,产品明确聚焦蓝筹股，具有大市值、恒指成分等蓝筹特征
08557,HK,Web3,theme,0.7,True,deepseek_browser_evidence,公司前称罗马元宇宙，名称暗示其涉及Web3或区块链相关业务。,https://www.futunn.com/stock/08557-HK/news/announcement/earning-report,2026-06-04T19:00:48.773459,pending,公司名称直接关联元宇宙/Web3概念，但缺乏具体业务描述。
08579,HK,餐饮,business,0.8,True,deepseek_browser_evidence,龙皇集团为香港餐饮集团，主营餐饮服务。,https://www.futunn.com/hk/stock/08579-HK/financials-revenue,2026-06-04T19:00:48.773475,pending,根据公司名称及收入构成推断为餐饮企业。
08600,HK,券商,business,0.8,True,deepseek_browser_evidence,东方汇财证券股权，公司名称及股票名称包含证券，表明从事证券相关业务。,https://stock.finance.sina.com.cn/hkstock/finance/08600.html,2026-06-04T19:00:48.773488,pending,股票名称含‘证券’，推断为证券业务。
09196,HK,货币基金,instrument,0.7,True,deepseek_browser_evidence,新浪财经页面显示股票名称为‘A博时美元-U’，结合香港市场同类产品命名规则，推断为美元货币市场基金,https://stock.finance.sina.com.cn/hkstock/info/09196.html,2026-06-04T19:00:48.773634,pending,搜索结果中股票名称包含‘博时美元-U’，符合货币基金常见命名形式，但未获取到确切的基金说明书或年报信息
09311,HK,杠杆反向,instrument,0.8,True,deepseek_browser_evidence,新浪财经页面显示股票名称为‘XI二南CO-U’，命名中‘XI二’表明为2倍杠杆产品，‘南CO’指向南方东英发行的CO相关指数产品，符合港股杠杆反向ETF命名惯例,https://stock.finance.sina.com.cn/hkstock/quotes/09311.html,2026-06-04T19:00:48.773646,pending,股票名称高度暗示其为杠杆/反向产品，但未取得基金发行文件证实
09347,HK,杠杆反向,instrument,0.8,True,deepseek_browser_evidence,新浪财经页面显示股票名称为‘XI二南三星-U’，命名格式表明其为2倍杠杆产品，底层资产与三星相关，符合杠杆反向ETF特征,https://stock.finance.sina.com.cn/hkstock/quotes/09347.html,2026-06-04T19:00:48.773657,pending,股票名称明确包含‘XI二’，为香港市场杠杆反向产品的典型标识，但无直接业务描述
09366,HK,杠杆反向,instrument,0.8,True,deepseek_browser_evidence,新浪财经页面显示股票名称为‘XI二南特斯-U’，推断为2倍做空/做多特斯拉相关指数的杠杆产品，符合杠杆反向ETF惯例,https://stock.finance.sina.com.cn/hkstock/info/09366.html,2026-06-04T19:00:48.773667,pending,名称中含‘XI二’，且‘南特斯’可能指向特斯拉，但缺少产品说明书证实
09388,HK,杠杆反向,instrument,0.8,True,deepseek_browser_evidence,新浪财经页面显示股票名称为‘XI二南英伟-U’，推测为2倍杠杆产品，追踪英伟达相关指数，符合杠杆反向ETF命名规则,https://stock.finance.sina.com.cn/hkstock/info/09388.html,2026-06-04T19:00:48.773679,pending,股票名称中的‘XI二’是香港市场杠杆反向产品的惯用前缀，但缺乏官方业务资料
09399,HK,住宅开发,business,0.7,True,deepseek_browser_evidence,提供金辉控股 (09993)主营业务数据与分析，包含历年及最新发布的主营业务收入、成本、利润。,https://www.moomoo.com/hans/stock/09993-HK/financial/main-composition,2026-06-04T19:00:48.773691,pending,证据显示该公司为房地产开发企业，主营构成分析页面表明其收入主要来自物业开发，可初步判断为住宅开发业务。
09399,HK,中国内地,geo,0.6,False,deepseek_browser_evidence,提供金辉控股 (09993)主营业务数据与分析，包含历年及最新发布的主营业务收入、成本、利润。,https://www.moomoo.com/hans/stock/09993-HK/financial/main-composition,2026-06-04T19:00:48.773700,pending,金辉控股为内地房地产开发商，业务主要集中在中国内地。
09403,HK,ETF,instrument,0.8,True,deepseek_browser_evidence,"华夏恒esg-u (09403)股票股价,实时行情,新闻,财报数据 ...",https://stock.finance.sina.com.cn/hkstock/quotes/09403.html,2026-06-04T19:00:48.773711,pending,名称及代码格式表明该证券为交易所买卖基金（ETF），跟踪恒生ESG指数。
09406,HK,ETF,instrument,0.8,True,deepseek_browser_evidence,平安科技精选-u(09406)财报日期、财务报告及业绩会详情,https://www.itiger.com/hans/stock/09406/filings,2026-06-04T19:00:48.773720,pending,名称为‘科技精选-U’，代码格式符合ETF产品，可判断为投资科技主题的交易所买卖基金。
09404,HK,ETF,instrument,0.8,True,deepseek_browser_evidence,华夏印度-u (09404)_财务指标_新浪港股免费实时行情_新浪财经,https://stock.finance.sina.com.cn/hkstock/finance/09404.html,2026-06-04T19:00:48.773731,pending,名称包含‘印度-U’，是典型的跨境ETF，跟踪印度市场指数。
09411,HK,债券基金,instrument,0.8,True,deepseek_browser_evidence,Pp亚洲美债-u (09411)_公司资料_新浪港股免费实时行情 ...,https://stock.finance.sina.com.cn/hkstock/info/09411.html,2026-06-04T19:00:48.773742,pending,名称‘PP亚洲美债-U’明确指向投资亚洲美元债券的基金产品，可归类为债券ETF/基金。
09418,HK,商品ETF,instrument,0.8,True,deepseek_browser_evidence,华夏数字黄金-u (09418)_财务指标_新浪港股免费实时行情 ...,https://stock.finance.sina.com.cn/hkstock/finance/09418.html,2026-06-04T19:00:48.773755,pending,‘数字黄金-U’表明该ETF跟踪黄金价格或数字黄金资产，属于商品ETF范畴。
09425,HK,ETF,instrument,0.8,True,deepseek_browser_evidence,Mbc以太币-u (09425)_财务指标_新浪港股免费实时行情 ...,https://stock.finance.sina.com.cn/hkstock/finance/09425.html,2026-06-04T19:00:48.773765,pending,名称为‘以太币-U’，按港股ETF命名惯例，应为追踪以太币价格的交易所买卖基金。
09430,HK,ETF,instrument,0.8,True,deepseek_browser_evidence,Mbc比特币-u(09430)财报日期、财务报告及业绩会详情,https://www.itiger.com/hans/stock/09430/filings,2026-06-04T19:00:48.773775,pending,名称为‘比特币-U’，按港股ETF命名惯例，应为追踪比特币价格的交易所买卖基金。
