node_id,node_type,name,canonical_name,properties_json,source,confidence,updated_at
artifact:MaaS平台,artifact,MaaS平台,MaaS平台,"{""description"": ""MaaS(模型即服务)平台是智谱集成了人工智能模型和开发工具的云服务平台。"", ""source_id"": ""doc-7b78a94bf9c700343fdb8338229d6b4c-chunk-000"", ""file_path"": ""evidence:02513:89cf45718fedf981.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.727380
data:ARR,data,ARR,ARR,"{""description"": ""ARR是年度经常性收入指标，MaaS API平台2025年实现ARR 17亿元，同比提升60倍。"", ""source_id"": ""doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000"", ""file_path"": ""evidence:02513:3a2946fdc6d7525b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.727380
artifact:MaaS API平台,artifact,MaaS API平台,MaaS API平台,"{""description"": ""MaaS API平台是智谱提供的模型即服务API平台，2025年实现年度经常性收入(ARR)17亿元，同比提升60倍。"", ""source_id"": ""doc-4af6bd61e79109ab6732460c02dcbbee-chunk-000"", ""file_path"": ""evidence:02513:3a2946fdc6d7525b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.727380
entity:同花顺金融网,entity,同花顺金融网,同花顺金融网,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:02513.HK,entity,02513.HK,02513.HK,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:智谱2025年度报告,entity,智谱2025年度报告,智谱2025年度报告,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
event:轻交付、标准化合作模式,event,轻交付、标准化合作模式,轻交付、标准化合作模式,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:聆讯后资料集,entity,聆讯后资料集,聆讯后资料集,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:营收,entity,营收,营收,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:经调整净亏损,entity,经调整净亏损,经调整净亏损,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:研发投入,entity,研发投入,研发投入,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:智谱清言,entity,智谱清言,智谱清言,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:组织结构调整,entity,组织结构调整,组织结构调整,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:行业场景,entity,行业场景,行业场景,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:张鹏,entity,张鹏,张鹏,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
technology:AI 1.0时代,technology,AI 1.0时代,AI 1.0时代,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
technology:AI 2.0时代,technology,AI 2.0时代,AI 2.0时代,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:商业化方向,entity,商业化方向,商业化方向,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:定制化,entity,定制化,定制化,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
product:AI产品技术,product,AI产品技术,AI产品技术,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:中国内地注册企业,entity,中国内地注册企业,中国内地注册企业,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:香港交易所,entity,香港交易所,香港交易所,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:毛利率,entity,毛利率,毛利率,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:英特尔,entity,英特尔,英特尔,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:生成式人工智能,entity,生成式人工智能,生成式人工智能,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
technology:认知智能技术,technology,认知智能技术,认知智能技术,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:招股书,entity,招股书,招股书,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:2025年营收7亿,entity,2025年营收7亿,2025年营收7亿,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:亏损47亿,entity,亏损47亿,亏损47亿,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:企业收入,entity,企业收入,企业收入,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:国内B端商业化,entity,国内B端商业化,国内B端商业化,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:2025年收入,entity,2025年收入,2025年收入,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:2025年毛利,entity,2025年毛利,2025年毛利,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:2025年经调整净亏损,entity,2025年经调整净亏损,2025年经调整净亏损,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:2025年每股亏损,entity,2025年每股亏损,2025年每股亏损,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:上市后首份成绩单,entity,上市后首份成绩单,上市后首份成绩单,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:CodeGeeX智能编程助手,entity,CodeGeeX智能编程助手,CodeGeeX智能编程助手,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:光锥智能,entity,光锥智能,光锥智能,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:人员调整,entity,人员调整,人员调整,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:IPO,entity,IPO,IPO,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:招聘帖,entity,招聘帖,招聘帖,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
product:GLM-130B,product,GLM-130B,GLM-130B,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:企业级解决方案,entity,企业级解决方案,企业级解决方案,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:千行百业应用,entity,千行百业应用,千行百业应用,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:网易,entity,网易,网易,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
entity:ARC Capabilities,entity,ARC Capabilities,ARC Capabilities,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.729958
organization:中国前十大互联网公司,organization,中国前十大互联网公司,中国前十大互联网公司,"{""description"": ""中国前十大互联网公司是智谱的头部客户群体，其中9家深度调用GLM模型，同时这些公司具备自研模型的能力。"", ""source_id"": ""doc-159c33f0d797fd0894851a411359df00-chunk-000"", ""file_path"": ""evidence:02513:9bd8dcc71aea1308.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:业务落地路径,concept,业务落地路径,业务落地路径,"{""description"": ""业务落地路径是将AI技术转化为实际业务的策略和途径，本文对其进行分析。"", ""source_id"": ""doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000"", ""file_path"": ""evidence:02513:188bbc6c85b01d0b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
other:AI产品技术,other,AI产品技术,AI产品技术,"{""description"": ""AI产品技术是智谱公司所应用的人工智能产品技术，与行业场景双轮驱动。"", ""source_id"": ""doc-676b8171863c25e934e20e27b2e393f0-chunk-000"", ""file_path"": ""evidence:02513:2315e55978c3764d.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:行业场景,concept,行业场景,行业场景,"{""description"": ""行业场景是智谱公司致力于将AI产品技术与千行百业应用相结合的目标领域。"", ""source_id"": ""doc-676b8171863c25e934e20e27b2e393f0-chunk-000"", ""file_path"": ""evidence:02513:2315e55978c3764d.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:企业级AI基础设施路线,concept,企业级AI基础设施路线,企业级AI基础设施路线,"{""description"": ""一种AI公司的发展路线，强调为企业提供AI基础设施服务。"", ""source_id"": ""doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000"", ""file_path"": ""evidence:02513:79fc2bd415a0b425.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:AI行业变化,concept,AI行业变化,AI行业变化,"{""description"": ""指整个AI行业在商业模式和发展方向上的变化趋势。"", ""source_id"": ""doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000"", ""file_path"": ""evidence:02513:79fc2bd415a0b425.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
content:分析文章,content,分析文章,分析文章,"{""description"": ""分析文章是一篇关于智谱AI 2025年收入增长的分析，为高管和营销负责人提供决策参考，来源为zgeo.com.cn。"", ""source_id"": ""doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000"", ""file_path"": ""evidence:02513:188bbc6c85b01d0b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
organization:英特尔,organization,英特尔,英特尔,"{""description"": ""英特尔是一家技术公司，与智谱合作深化智能生态。"", ""source_id"": ""doc-9da4919957dc304f45e11a62041e9d1c-chunk-000"", ""file_path"": ""evidence:02513:434e5b846052be06.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:人工智能,concept,人工智能,人工智能,"{""description"": ""人工智能是智谱业务的核心技术领域，涵盖大语言模型等应用。"", ""source_id"": ""doc-d9bbf73932d18eeffb95e83597295fa0-chunk-000"", ""file_path"": ""evidence:02513:1fee14579342d00b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:生成式人工智能,concept,生成式人工智能,生成式人工智能,"{""description"": ""生成式人工智能是一种能够生成内容的人工智能技术，受《生成式人工智能服务管理暂行办法》规范。"", ""source_id"": ""doc-d9bbf73932d18eeffb95e83597295fa0-chunk-000"", ""file_path"": ""evidence:02513:1fee14579342d00b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
content:智谱2025年度报告,content,智谱2025年度报告,智谱2025年度报告,"{""description"": ""一份标题为“智谱财务报表/环境、社会及管治资料- [年报] 2025年度报告”的年度报告文件，由智谱发布。"", ""source_id"": ""doc-cd9f6b7513e5ea92692e58c69cbd8c42-chunk-000"", ""file_path"": ""evidence:02513:44325e49aa486440.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
content:环境、社会及管治资料,content,环境、社会及管治资料,环境、社会及管治资料,"{""description"": ""智谱2025年度报告中包含的环境、社会和治理(ESG)信息部分。"", ""source_id"": ""doc-cd9f6b7513e5ea92692e58c69cbd8c42-chunk-000"", ""file_path"": ""evidence:02513:44325e49aa486440.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
method:基座大模型,method,基座大模型,基座大模型,"{""description"": ""基座大模型是智谱AI全自研的底层大型人工智能模型，为构建AIGC模型产品提供核心能力。"", ""source_id"": ""doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000"", ""file_path"": ""evidence:02513:d9f141da7ec3f385.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
method:代码模型,method,代码模型,代码模型,"{""description"": ""代码模型是智谱提供的一种与代码生成或理解相关的人工智能模型。"", ""source_id"": ""doc-7b78a94bf9c700343fdb8338229d6b4c-chunk-000"", ""file_path"": ""evidence:02513:89cf45718fedf981.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
other:AIGC模型产品矩阵,other,AIGC模型产品矩阵,AIGC模型产品矩阵,"{""description"": ""AIGC模型产品矩阵是智谱AI构建的极具竞争力的产品集合，包含多种AI模型。"", ""source_id"": ""doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000"", ""file_path"": ""evidence:02513:d9f141da7ec3f385.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
data:营收,data,营收,营收,"{""description"": ""智谱的营收数据，包括2022年5740万元、2023年1.245亿元、2024年3.124亿元、2025年上半年1.9亿元，2022年至2024年连续三年营收翻倍，复合年增长率130%。"", ""source_id"": ""doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000"", ""file_path"": ""evidence:02513:5ba523278dfb38a4.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
concept:认知智能技术,concept,认知智能技术,认知智能技术,"{""description"": ""认知智能技术是智谱公司所结合的中国先进技术，用于与行业场景双轮驱动。"", ""source_id"": ""doc-676b8171863c25e934e20e27b2e393f0-chunk-000"", ""file_path"": ""evidence:02513:2315e55978c3764d.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.754568
entity:Hugging Face,entity,Hugging Face,Hugging Face,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.756576
entity:DSA,entity,DSA,DSA,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.756576
concept:估值,concept,估值,估值,"{""description"": ""智谱未来的公司估值，其高低取决于AI 2.0时代轻交付、标准化合作模式能否成功跑通。"", ""source_id"": ""doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000"", ""file_path"": ""evidence:02513:70badf3159f93488.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
other:商业化方向,other,商业化方向,商业化方向,"{""description"": ""智谱在组织调整中重点探索的商业化路径，试图摆脱过去的定制化模式，转向更高效的标准合作模式。"", ""source_id"": ""doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000"", ""file_path"": ""evidence:02513:70badf3159f93488.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
other:组织结构调整,other,组织结构调整,组织结构调整,"{""description"": ""智谱进行的组织架构调整，直接面向商业化方向，释放出公司对商业模式的重新思考。"", ""source_id"": ""doc-5647361f6bedcbde814a2fb73eeb0c1a-chunk-000"", ""file_path"": ""evidence:02513:70badf3159f93488.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
other:媒体沟通会,other,媒体沟通会,媒体沟通会,"{""description"": ""智谱举办的媒体沟通会，CEO张鹏在会上回应了关于客户自研模型的疑问。"", ""source_id"": ""doc-159c33f0d797fd0894851a411359df00-chunk-000"", ""file_path"": ""evidence:02513:9bd8dcc71aea1308.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
person:张鹏,person,张鹏,张鹏,"{""description"": ""张鹏是智谱的CEO，在媒体沟通会上就大厂自研模型的竞争问题发表回应。"", ""source_id"": ""doc-159c33f0d797fd0894851a411359df00-chunk-000"", ""file_path"": ""evidence:02513:9bd8dcc71aea1308.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
concept:投资风险因素,concept,投资风险因素,投资风险因素,"{""description"": ""投资风险因素指投资中国内地注册企业所涉及的特定风险，包括法律、经济及金融体系差异等。"", ""source_id"": ""doc-bbbb32529f902c38e6fcea699979689e-chunk-000"", ""file_path"": ""evidence:02513:d2b44ba8ea4d1c7b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
person:潜在投资者,person,潜在投资者,潜在投资者,"{""description"": ""潜在投资者是考虑投资于中国内地注册企业的个人或机构，需了解相关法律、经济和金融体系差异及风险因素。"", ""source_id"": ""doc-bbbb32529f902c38e6fcea699979689e-chunk-000"", ""file_path"": ""evidence:02513:d2b44ba8ea4d1c7b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
concept:国内B端商业化,concept,国内B端商业化,国内B端商业化,"{""description"": ""国内B端商业化是指在中国国内面向企业(B端)的商业化运营能力，智谱在这方面更为扎实。"", ""source_id"": ""doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000"", ""file_path"": ""evidence:02513:79fc2bd415a0b425.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.770985
