tag,tag_type,canonical_tag,aliases,description,parent_tag,active,updated_at
锂,resource,锂,锂矿;碳酸锂;氢氧化锂,锂 related exposure,新能源材料,True,2026-06-04T05:58:00.396320
铝,resource,铝,电解铝;氧化铝,铝 related exposure,资源材料,True,2026-06-04T05:58:00.396323
镍,resource,镍,镍矿;电池镍,镍 related exposure,资源材料,True,2026-06-04T05:58:00.396326
钴,resource,钴,钴矿;电池钴,钴 related exposure,资源材料,True,2026-06-04T05:58:00.396329
稀土,resource,稀土,稀土矿;磁材,稀土 related exposure,资源材料,True,2026-06-04T05:58:00.396332
铀,resource,铀,铀矿;核燃料,铀 related exposure,能源,True,2026-06-04T05:58:00.396335
水泥,resource,水泥,熟料;建筑材料,水泥 related exposure,建材,True,2026-06-04T05:58:00.396339
钢铁,resource,钢铁,钢材;粗钢,钢铁 related exposure,资源材料,True,2026-06-04T05:58:00.396342
玻璃,resource,玻璃,浮法玻璃;光伏玻璃,玻璃 related exposure,建材,True,2026-06-04T05:58:00.396345
化肥,resource,化肥,磷肥;钾肥;氮肥,化肥 related exposure,农业,True,2026-06-04T05:58:00.396348
农产品,resource,农产品,粮食;大豆;玉米,农产品 related exposure,农业,True,2026-06-04T05:58:00.396351
纸浆,resource,纸浆,木浆;纸品,纸浆 related exposure,造纸,True,2026-06-04T05:58:00.396355
上游资源,value_chain,上游资源,资源端;原料端,上游资源 related exposure,产业链,True,2026-06-04T05:58:00.396358
设备,value_chain,设备,设备商;制造设备,设备 related exposure,产业链,True,2026-06-04T05:58:00.396361
分销,value_chain,分销,渠道;经销,分销 related exposure,产业链,True,2026-06-04T05:58:00.396364
平台,value_chain,平台,互联网平台;交易平台,平台 related exposure,产业链,True,2026-06-04T05:58:00.396367
IDC,value_chain,IDC,数据中心;机房,IDC related exposure,算力,True,2026-06-04T05:58:00.396371
算力,value_chain,算力,数据中心;GPU服务器;AI服务器,算力 related exposure,AI,True,2026-06-04T05:58:00.396374
液冷,value_chain,液冷,液冷服务器;冷却系统,液冷 related exposure,算力,True,2026-06-04T05:58:00.396378
云服务,value_chain,云服务,云计算;云平台,云服务 related exposure,科技,True,2026-06-04T05:58:00.396381
支付网络,value_chain,支付网络,支付;收单,支付网络 related exposure,金融科技,True,2026-06-04T05:58:00.396384
物流网络,value_chain,物流网络,仓配;快递网络,物流网络 related exposure,物流,True,2026-06-04T05:58:00.396387
供应链金融,value_chain,供应链金融,保理;贸易融资,供应链金融 related exposure,金融科技,True,2026-06-04T05:58:00.396390
芯片设计,value_chain,芯片设计,IC设计;Fabless,芯片设计 related exposure,半导体,True,2026-06-04T05:58:00.396394
晶圆制造,value_chain,晶圆制造,晶圆代工;Foundry,晶圆制造 related exposure,半导体,True,2026-06-04T05:58:00.396403
半导体设备,value_chain,半导体设备,刻蚀;光刻;检测设备,半导体设备 related exposure,半导体,True,2026-06-04T05:58:00.396406
半导体材料,value_chain,半导体材料,硅片;光刻胶;电子气体,半导体材料 related exposure,半导体,True,2026-06-04T05:58:00.396409
封测,value_chain,封测,封装;测试,封测 related exposure,半导体,True,2026-06-04T05:58:00.396413
电池材料,value_chain,电池材料,正极;负极;隔膜;电解液,电池材料 related exposure,新能源车,True,2026-06-04T05:58:00.396416
动力电池,value_chain,动力电池,电池包;电芯,动力电池 related exposure,新能源车,True,2026-06-04T05:58:00.396419
充电桩,value_chain,充电桩,充电设备;补能,充电桩 related exposure,新能源车,True,2026-06-04T05:58:00.396423
整车,value_chain,整车,乘用车;商用车,整车 related exposure,汽车,True,2026-06-04T05:58:00.396426
零部件,value_chain,零部件,汽车零部件;供应商,零部件 related exposure,汽车,True,2026-06-04T05:58:00.396429
创新药研发,value_chain,创新药研发,临床;管线,创新药研发 related exposure,创新药,True,2026-06-04T05:58:00.396432
药品分销,value_chain,药品分销,医药流通;药品批发,药品分销 related exposure,医药,True,2026-06-04T05:58:00.396435
医院服务,value_chain,医院服务,医疗服务;专科医院,医院服务 related exposure,医药,True,2026-06-04T05:58:00.396438
港口物流,value_chain,港口物流,码头;集装箱港口,港口物流 related exposure,交通运输,True,2026-06-04T05:58:00.396442
航运运力,value_chain,航运运力,船队;运价,航运运力 related exposure,交通运输,True,2026-06-04T05:58:00.396445
航空运力,value_chain,航空运力,客运;货运,航空运力 related exposure,交通运输,True,2026-06-04T05:58:00.396448
广告投放,value_chain,广告投放,效果广告;品牌广告,广告投放 related exposure,互联网服务,True,2026-06-04T05:58:00.396451
内容分发,value_chain,内容分发,流媒体;短视频;长视频,内容分发 related exposure,媒体,True,2026-06-04T05:58:00.396455
物业运营,value_chain,物业运营,商业运营;物管,物业运营 related exposure,地产,True,2026-06-04T05:58:00.396459
游戏,business,游戏,网络游戏;手游,游戏 related exposure,互联网服务,True,2026-06-04T05:58:00.396462
广告,business,广告,广告营销;数字广告,广告 related exposure,互联网服务,True,2026-06-04T05:58:00.396465
电商,business,电商,电子商务;线上零售,电商 related exposure,互联网服务,True,2026-06-04T05:58:00.396468
外卖,business,外卖,即时配送;餐饮配送,外卖 related exposure,本地生活,True,2026-06-04T05:58:00.396471
本地生活,business,本地生活,到店;酒旅;外卖,本地生活 related exposure,互联网服务,True,2026-06-04T05:58:00.396475
物业管理,business,物业管理,物管;物业服务,物业管理 related exposure,地产,True,2026-06-04T05:58:00.396478
商业地产,business,商业地产,购物中心;写字楼,商业地产 related exposure,地产,True,2026-06-04T05:58:00.396481
住宅开发,business,住宅开发,房地产开发;住宅销售,住宅开发 related exposure,地产,True,2026-06-04T05:58:00.396484
保险,business,保险,寿险;财险;再保险,保险 related exposure,金融,True,2026-06-04T05:58:00.396488
银行,business,银行,商业银行;零售银行,银行 related exposure,金融,True,2026-06-04T05:58:00.396490
券商,business,券商,证券;投行;经纪,券商 related exposure,金融,True,2026-06-04T05:58:00.396494
交易所,business,交易所,证券交易所;清算,交易所 related exposure,金融,True,2026-06-04T05:58:00.396497
航运,business,航运,集运;干散货;油运,航运 related exposure,交通运输,True,2026-06-04T05:58:00.396500
港口,business,港口,码头;港口运营,港口 related exposure,交通运输,True,2026-06-04T05:58:00.396504
航空,business,航空,航空公司;机场,航空 related exposure,交通运输,True,2026-06-04T05:58:00.396507
公路,business,公路,收费公路;高速公路,公路 related exposure,交通运输,True,2026-06-04T05:58:00.396510
铁路,business,铁路,轨交;铁路运营,铁路 related exposure,交通运输,True,2026-06-04T05:58:00.396513
教育,business,教育,学校;培训;职业教育,教育 related exposure,消费服务,True,2026-06-04T05:58:00.396516
博彩,business,博彩,赌场;博彩运营;澳门博彩,博彩 related exposure,旅游消费,True,2026-06-04T05:58:00.396519
餐饮,business,餐饮,餐厅;连锁餐饮,餐饮 related exposure,消费,True,2026-06-04T05:58:00.396522
运动服饰,business,运动服饰,运动鞋服;体育用品,运动服饰 related exposure,消费,True,2026-06-04T05:58:00.396525
啤酒,business,啤酒,啤酒生产;酒类,啤酒 related exposure,消费,True,2026-06-04T05:58:00.396529
乳制品,business,乳制品,牛奶;奶粉,乳制品 related exposure,消费,True,2026-06-04T05:58:00.396532
调味品,business,调味品,酱油;复合调味料,调味品 related exposure,消费,True,2026-06-04T05:58:00.396535
珠宝,business,珠宝,黄金珠宝;首饰,珠宝 related exposure,消费,True,2026-06-04T05:58:00.396538
美妆,business,美妆,化妆品;护肤,美妆 related exposure,消费,True,2026-06-04T05:58:00.396541
旅游,business,旅游,景区;旅行服务,旅游 related exposure,消费服务,True,2026-06-04T05:58:00.396544
酒店,business,酒店,酒店运营;住宿,酒店 related exposure,消费服务,True,2026-06-04T05:58:00.396547
电影,business,电影,院线;影视制作,电影 related exposure,媒体,True,2026-06-04T05:58:00.396550
音乐,business,音乐,在线音乐;版权,音乐 related exposure,媒体,True,2026-06-04T05:58:00.396553
视频平台,business,视频平台,长视频;短视频,视频平台 related exposure,媒体,True,2026-06-04T05:58:00.396557
通信运营,business,通信运营,移动通信;宽带,通信运营 related exposure,电信,True,2026-06-04T05:58:00.396560
通信设备,business,通信设备,基站;网络设备,通信设备 related exposure,电信,True,2026-06-04T05:58:00.396563
软件服务,business,软件服务,软件开发;IT服务,软件服务 related exposure,科技,True,2026-06-04T05:58:00.396566
企业服务,business,企业服务,B端服务;企业软件,企业服务 related exposure,科技,True,2026-06-04T05:58:00.396569
数据中心,business,数据中心,IDC;机房运营,数据中心 related exposure,科技,True,2026-06-04T05:58:00.396572
消费电子,business,消费电子,手机;智能硬件,消费电子 related exposure,科技,True,2026-06-04T05:58:00.396575
家电,business,家电,白电;小家电,家电 related exposure,消费,True,2026-06-04T05:58:00.396578
汽车经销,business,汽车经销,4S店;汽车销售,汽车经销 related exposure,汽车,True,2026-06-04T05:58:00.396582
汽车制造,business,汽车制造,整车制造;汽车品牌,汽车制造 related exposure,汽车,True,2026-06-04T05:58:00.396585
煤电,business,煤电,火电;燃煤发电,煤电 related exposure,公用事业,True,2026-06-04T05:58:00.396588
水电,business,水电,水力发电,水电 related exposure,公用事业,True,2026-06-04T05:58:00.396591
风电,business,风电,风力发电;风电场,风电 related exposure,新能源,True,2026-06-04T05:58:00.396594
光伏,business,光伏,太阳能;光伏电站,光伏 related exposure,新能源,True,2026-06-04T05:58:00.396597
燃气,business,燃气,城市燃气;天然气分销,燃气 related exposure,公用事业,True,2026-06-04T05:58:00.396600
供水,business,供水,水务;自来水,供水 related exposure,公用事业,True,2026-06-04T05:58:00.396603
环保,business,环保,污水处理;固废,环保 related exposure,公用事业,True,2026-06-04T05:58:00.396607
工程建设,business,工程建设,基建;工程承包,工程建设 related exposure,建筑,True,2026-06-04T05:58:00.396610
建筑材料,business,建筑材料,水泥;玻璃;管材,建筑材料 related exposure,建材,True,2026-06-04T05:58:00.396613
机械设备,business,机械设备,工程机械;通用设备,机械设备 related exposure,工业,True,2026-06-04T05:58:00.396616
电子制造,business,电子制造,EMS;代工,电子制造 related exposure,工业,True,2026-06-04T05:58:00.396619
纺织服装,business,纺织服装,服装;纺织品,纺织服装 related exposure,消费,True,2026-06-04T05:58:00.396622
医药制造,business,医药制造,药品生产;制药,医药制造 related exposure,医药,True,2026-06-04T05:58:00.396625
医疗服务,business,医疗服务,医院;诊所,医疗服务 related exposure,医药,True,2026-06-04T05:58:00.396628
农业,business,农业,种植;养殖,农业 related exposure,农业,True,2026-06-04T05:58:00.396632
地产债,risk,地产债,房企债务;违约风险,地产债 related exposure,地产,True,2026-06-04T05:58:00.396635
监管风险,risk,监管风险,政策监管;合规,监管风险 related exposure,风险,True,2026-06-04T05:58:00.396638
商品价格敏感,risk,商品价格敏感,大宗商品波动;原料价格,商品价格敏感 related exposure,风险,True,2026-06-04T05:58:00.396641
汇率敏感,risk,汇率敏感,外汇;美元,汇率敏感 related exposure,风险,True,2026-06-04T05:58:00.396644
利率敏感,risk,利率敏感,利率上行;融资成本,利率敏感 related exposure,风险,True,2026-06-04T05:58:00.396647
单一客户风险,risk,单一客户风险,客户集中;大客户,单一客户风险 related exposure,风险,True,2026-06-04T05:58:00.396650
海外制裁风险,risk,海外制裁风险,出口管制;制裁,海外制裁风险 related exposure,风险,True,2026-06-04T05:58:00.396653
流动性风险,risk,流动性风险,成交稀疏;停牌,流动性风险 related exposure,风险,True,2026-06-04T05:58:00.396657
高负债,risk,高负债,杠杆;资产负债率,高负债 related exposure,风险,True,2026-06-04T05:58:00.396660
商誉风险,risk,商誉风险,商誉减值;并购,商誉风险 related exposure,风险,True,2026-06-04T05:58:00.396663
原材料成本风险,risk,原材料成本风险,成本上涨;毛利率压力,原材料成本风险 related exposure,风险,True,2026-06-04T05:58:00.396666
牌照风险,risk,牌照风险,牌照续期;特许经营,牌照风险 related exposure,风险,True,2026-06-04T05:58:00.396670
中国内地,geo,中国内地,大陆;内地业务,中国内地 related exposure,地域,True,2026-06-04T05:58:00.396673
香港本地,geo,香港本地,香港业务;本地市场,香港本地 related exposure,地域,True,2026-06-04T05:58:00.396676
澳门,geo,澳门,澳门业务;澳门博彩,澳门 related exposure,地域,True,2026-06-04T05:58:00.396679
东南亚,geo,东南亚,ASEAN;新加坡;印尼;泰国,东南亚 related exposure,地域,True,2026-06-04T05:58:00.396683
欧洲,geo,欧洲,欧盟;英国;德国,欧洲 related exposure,地域,True,2026-06-04T05:58:00.396686
北美,geo,北美,美国;加拿大,北美 related exposure,地域,True,2026-06-04T05:58:00.396689
全球业务,geo,全球业务,全球化;国际业务,全球业务 related exposure,地域,True,2026-06-04T05:58:00.396692
非洲,geo,非洲,非洲业务;矿业非洲,非洲 related exposure,地域,True,2026-06-04T05:58:00.396695
高股息,style,高股息,收息资产;红利,高股息 related exposure,风格,True,2026-06-04T05:58:00.396698
央国企,style,央国企,央企;国企,央国企 related exposure,风格,True,2026-06-04T05:58:00.396701
小市值,style,小市值,小盘;微盘,小市值 related exposure,风格,True,2026-06-04T05:58:00.396704
高波动,style,高波动,波动率高;弹性,高波动 related exposure,风格,True,2026-06-04T05:58:00.396707
低估值,style,低估值,低PE;低PB,低估值 related exposure,风格,True,2026-06-04T05:58:00.396710
成长股,style,成长股,高增长;成长,成长股 related exposure,风格,True,2026-06-04T05:58:00.396714
周期股,style,周期股,周期;价格弹性,周期股 related exposure,风格,True,2026-06-04T05:58:00.396717
防御,style,防御,防守;稳定现金流,防御 related exposure,风格,True,2026-06-04T05:58:00.396720
高杠杆,style,高杠杆,负债高;财务杠杆,高杠杆 related exposure,风格,True,2026-06-04T05:58:00.396723
高研发,style,高研发,研发投入;技术驱动,高研发 related exposure,风格,True,2026-06-04T05:58:00.396726
蓝筹,style,蓝筹,大市值;恒指成分,蓝筹 related exposure,风格,True,2026-06-04T05:58:00.396729
红筹,style,红筹,红筹股;中资企业,红筹 related exposure,风格,True,2026-06-04T05:58:00.396732
ETF,instrument,ETF,交易所买卖基金;交易所买卖产品,ETF related exposure,基金,True,2026-06-04T05:58:00.396735
REIT,instrument,REIT,房地产基金;地产投资信托基金,REIT related exposure,地产,True,2026-06-04T05:58:00.396739
杠杆反向,instrument,杠杆反向,杠杆产品;反向产品,杠杆反向 related exposure,基金,True,2026-06-04T05:58:00.396742
债券基金,instrument,债券基金,债券ETF;固收基金,债券基金 related exposure,基金,True,2026-06-04T05:58:00.396745
货币基金,instrument,货币基金,现金管理;货币市场基金,货币基金 related exposure,基金,True,2026-06-04T05:58:00.396749
商品ETF,instrument,商品ETF,黄金ETF;原油ETF,商品ETF related exposure,基金,True,2026-06-04T05:58:00.396752
期货ETF,instrument,期货ETF,期货型ETF,期货ETF related exposure,基金,True,2026-06-04T05:58:00.396755
封闭基金,instrument,封闭基金,封闭式基金,封闭基金 related exposure,基金,True,2026-06-04T05:58:00.396758
